iter	Logloss	Accuracy
0	0.6868634271	0.6929065057
1	0.6813943609	0.6913178171
2	0.6755617327	0.6925093335
3	0.670317567	0.6929065057
4	0.6654294001	0.6934625467
5	0.6607435783	0.6956072762
6	0.656844639	0.6942568909
7	0.653013948	0.6952895385
8	0.6492593646	0.6983080467
9	0.6456031851	0.6976725713
10	0.6423230393	0.6992612598
11	0.6388057762	0.6998967352
12	0.6359838795	0.6997378664
13	0.6330840544	0.699658432
14	0.6303447252	0.6998173008
15	0.6280557473	0.7000556041
16	0.6256590321	0.7006910795
17	0.6231851683	0.700214473
18	0.6210286083	0.7016442926
19	0.6192308683	0.700214473
20	0.6171115171	0.7013265549
21	0.6152268329	0.7018031615
22	0.6128917331	0.7018031615
23	0.6109967044	0.7027563746
24	0.6093525489	0.7041861943
25	0.607960808	0.7043450632
26	0.6065566008	0.7034712845
27	0.6050510516	0.70339185
28	0.6034824775	0.7041861943
29	0.6022800614	0.7040273254
30	0.6011721724	0.7022797681
31	0.5999359701	0.7041861943
32	0.5989042919	0.7031535467
33	0.5975426736	0.7040273254
34	0.5965032445	0.703947891
35	0.5953091511	0.7049011041
36	0.5941471576	0.7074430058
37	0.5932915803	0.7085550878
38	0.5924481361	0.7091111288
39	0.5914788781	0.7098260386
40	0.5907006574	0.7092699976
41	0.5898377166	0.7094288665
42	0.5889915838	0.7106203829
43	0.5881794538	0.7107792517
44	0.5873646685	0.7112558583
45	0.5867794069	0.7117324649
46	0.5860029958	0.7118913337
47	0.5853554091	0.7117324649
48	0.5847134449	0.7125268091
49	0.5842197508	0.7118913337
50	0.5833413946	0.7117324649
51	0.5827477915	0.7122885058
52	0.5821544696	0.7122885058
53	0.5812999572	0.713241719
54	0.5807796061	0.713241719
55	0.5801576955	0.7131622845
56	0.5795603234	0.7137977599
57	0.5788315331	0.7141154977
58	0.5783346109	0.7145921042
59	0.5777378056	0.7139566288
60	0.5772592352	0.7150687108
61	0.5767644055	0.7149098419
62	0.5762631817	0.7149892764
63	0.5758790525	0.7146715386
64	0.5753364383	0.7157041862
65	0.5748811411	0.7156247518
66	0.5743746342	0.7157836206
67	0.573940506	0.7163396616
68	0.5734453015	0.7172928747
69	0.5730144846	0.7163396616
70	0.572463163	0.7164985305
71	0.5719535898	0.7163396616
72	0.5715831562	0.716419096
73	0.5712222185	0.7165779649
74	0.5708935671	0.7173723092
75	0.5705098672	0.7176900469
76	0.5701320332	0.7185638256
77	0.5697167893	0.7182460879
78	0.5695063232	0.7180077846
79	0.5690785041	0.7187226944
80	0.5686371405	0.7187226944
81	0.5681267014	0.71864326
