iter	Passed	Remaining
0	26	66460
1	54	68489
2	76	63400
3	93	58264
4	108	54051
5	122	51070
6	140	49964
7	153	47920
8	170	47289
9	194	48450
10	221	50023
11	247	51319
12	274	52441
13	297	52869
14	320	53109
15	346	53745
16	369	53950
17	395	54499
18	419	54761
19	436	54167
20	454	53599
21	466	52573
22	484	52193
23	501	51696
24	516	51178
25	535	50983
26	569	52165
27	592	52338
28	612	52152
29	634	52209
30	651	51873
31	670	51692
32	688	51448
33	705	51179
34	722	50860
35	740	50711
36	889	59208
37	922	59746
38	948	59842
39	969	59623
40	989	59327
41	1018	59594
42	1038	59338
43	1072	59857
44	1114	60778
45	1135	60587
46	1153	60208
47	1171	59845
48	1190	59555
49	1205	59064
50	1224	58800
51	1241	58448
52	1260	58179
53	1275	57756
54	1297	57693
55	1318	57559
56	1336	57265
57	1354	57015
58	1381	57148
59	1406	57213
60	1428	57131
61	1453	57165
62	1478	57173
63	1500	57129
64	1533	57448
65	1562	57629
66	1584	57537
67	1604	57378
68	1619	57053
69	1638	56874
70	1657	56701
71	1676	56548
72	1694	56328
73	1713	56159
74	1733	56042
75	1754	55948
76	1772	55767
77	1791	55620
78	1812	55537
79	1832	55432
80	1854	55376
81	1875	55290
82	1916	55815
83	2077	59756
84	2111	59979
85	2181	61238
86	2204	61137
87	2224	60966
88	2243	60784
89	2264	60626
90	2284	60473
91	2302	60273
92	2323	60131
93	2342	59955
94	2367	59933
95	2385	59737
96	2403	59530
97	2422	59367
98	2439	59160
99	2458	59014
100	2482	58966
101	2516	59171
102	2533	58969
103	2552	58815
104	2573	58707
105	2598	58691
106	2627	58764
107	2659	58892
108	2682	58849
109	2703	58733
110	2722	58604
111	2744	58506
112	2761	58335
113	2780	58195
114	2797	58023
115	2816	57886
116	2832	57699
117	2850	57547
118	2868	57396
119	2885	57231
120	2897	56962
121	2915	56821
122	2932	56673
123	2951	56559
124	2958	56217
125	2978	56119
126	2997	55999
127	3015	55885
128	3034	55768
129	3052	55650
130	3070	55519
131	3173	56928
132	3240	57668
133	3267	57692
134	3296	57757
135	3320	57724
136	3340	57625
137	3361	57540
138	3385	57509
139	3408	57449
140	3425	57311
141	3443	57179
142	3460	57034
143	3479	56925
144	3498	56826
145	3515	56688
146	3530	56507
147	3546	56368
148	3564	56243
149	3582	56127
150	3602	56041
151	3620	55930
152	3638	55815
153	3656	55705
154	3682	55706
155	3701	55615
156	3724	55585
157	3750	55591
158	3774	55576
159	3797	55540
160	3823	55541
161	3843	55470
162	3865	55416
163	3886	55360
164	3907	55297
165	3925	55195
166	3943	55084
167	3960	54981
168	3980	54899
169	4000	54823
170	4022	54792
171	4046	54767
172	4055	54545
173	4075	54478
174	4092	54371
175	4098	54113
176	4116	54023
177	4135	53948
178	4154	53863
179	4172	53777
180	4198	53790
181	4236	53960
182	4382	55491
183	4406	55465
184	4437	55524
185	4465	55551
186	4486	55487
187	4505	55406
188	4522	55303
189	4540	55206
190	4558	55110
191	4576	55018
192	4593	54904
193	4610	54801
194	4631	54745
195	4642	54570
196	4661	54499
197	4681	54424
198	4703	54382
199	4719	54279
200	4742	54243
201	4760	54159
202	4778	54069
203	4796	53984
204	4816	53917
205	4834	53838
206	4849	53723
207	4870	53665
208	4894	53649
209	4917	53627
210	4941	53610
211	4967	53611
212	4991	53598
213	5012	53548
214	5032	53481
215	5053	53437
216	5072	53365
217	5088	53264
218	5109	53213
219	5127	53141
220	5143	53044
221	5161	52966
222	5185	52948
223	5217	53013
224	5254	53127
225	5285	53178
226	5312	53197
227	5321	53031
228	5348	53040
229	5365	52957
230	5396	53007
231	5537	54137
232	5561	54111
233	5587	54109
234	5610	54076
235	5727	54940
236	5836	55731
237	5957	56624
238	6086	57576
239	6188	58276
240	6232	58421
241	6277	58572
242	6299	58511
243	6337	58596
244	6385	58776
245	6426	58884
246	6465	58973
247	6494	58976
248	6564	59348
249	6780	61027
250	6813	61048
251	6838	61002
252	6859	60925
253	6877	60810
254	6891	60672
255	6908	60555
256	6925	60444
257	6943	60340
258	6961	60235
259	6979	60130
260	6994	59998
261	7015	59930
262	7044	59915
263	7066	59853
264	7092	59818
265	7118	59786
266	7147	59776
267	7168	59704
