iter	Logloss	Accuracy
0	0.6832382826	0.7016383676
1	0.6742420996	0.7011021746
2	0.6666667967	0.7032469467
3	0.6593954562	0.7033661007
4	0.6524694327	0.7041406017
5	0.646498539	0.7059279118
6	0.6405541229	0.7055704498
7	0.6357409407	0.7070002979
8	0.6308380188	0.7072981829
9	0.6264989015	0.7071790289
10	0.6220802383	0.7075364909
11	0.6180997315	0.7077747989
12	0.6149058398	0.7074769139
13	0.6117133737	0.7070598749
14	0.6088872969	0.7076556449
15	0.6058640119	0.7078939529
16	0.6031191566	0.7074173369
17	0.6005233383	0.7078343759
18	0.5985275359	0.7079535299
19	0.5965328951	0.709264224
20	0.5946913011	0.709383378
21	0.5926333188	0.709264224
22	0.5910063669	0.709383378
23	0.5891954712	0.709859994
24	0.5873534409	0.7106940721
25	0.5855508007	0.7106940721
26	0.5841547021	0.7115281501
27	0.5827381081	0.7115877271
28	0.581011147	0.7126005362
29	0.5795355144	0.7130771522
30	0.5788474281	0.7132558832
31	0.577573934	0.7141495383
32	0.5766528277	0.7143282693
33	0.5754980375	0.7149836163
34	0.5745257378	0.7148644623
35	0.5735558742	0.7149240393
36	0.5727007354	0.7155198094
37	0.571692505	0.7165326184
38	0.5708873929	0.7174262735
39	0.5698551114	0.7182007745
40	0.5690984651	0.7181411975
41	0.5681412973	0.7187369675
42	0.567281958	0.7192135836
43	0.5665033472	0.7190944296
44	0.5658627668	0.7193327376
45	0.5650561253	0.7195114686
46	0.5644550756	0.7193923146
47	0.5639200774	0.7200476616
48	0.5630764926	0.7211796247
49	0.5624587136	0.7216562407
50	0.561820614	0.7217753947
51	0.5613171722	0.7225498957
52	0.5606534236	0.7230860888
53	0.5600639794	0.7237414358
54	0.5593141932	0.7251712839
55	0.5585518152	0.7258266309
56	0.5554044598	0.727792672
57	0.5548093366	0.7286267501
58	0.55217269	0.7302949062
59	0.5517480248	0.7305927912
60	0.5511108559	0.7304736372
61	0.550755064	0.7302949062
62	0.5503553667	0.7306523682
63	0.5477451764	0.7317247542
64	0.5461771643	0.7335716413
65	0.5456785097	0.7335120643
66	0.5452477298	0.7339291034
67	0.5448124925	0.7346440274
68	0.5427643317	0.7357759905
69	0.5423579443	0.7362526065
70	0.541844973	0.7369675305
71	0.5411921495	0.7373249926
72	0.5408681488	0.7373845696
73	0.5390083096	0.7391123027
74	0.5372856153	0.7404825737
75	0.5354257641	0.7417336908
76	0.5337465089	0.7429848079
77	0.5330273914	0.7432826929
78	0.5314810839	0.7441763479
79	0.5307002569	0.7441167709
80	0.5304227186	0.7438188859
81	0.5301744263	0.7439380399
82	0.529531384	0.745070003
83	0.529187262	0.744831695
84	0.5289429946	0.74512958
85	0.5285003478	0.745248734
86	0.5278519248	0.745963658
87	0.5276311287	0.745904081
88	0.5273880519	0.746023235
89	0.525574492	0.7471551981
90	0.5236214672	0.7487637772
91	0.5232269287	0.7496574322
92	0.5228708645	0.7498361632
93	0.5225970914	0.7504319333
94	0.5224014935	0.7503127793
95	0.5220378659	0.7506702413
96	0.5217388456	0.7503723563
97	0.5214606175	0.7507893953
98	0.5206086753	0.7514447423
99	0.5204094207	0.7519809354
100	0.5197023128	0.7525171284
101	0.5196275817	0.7528150134
102	0.5194331606	0.7531724754
103	0.5192471683	0.7529937444
104	0.5166501226	0.7547214775
105	0.5159798255	0.7552576705
106	0.5159351124	0.7552576705
107	0.5156712023	0.7550193625
108	0.5151155187	0.7553768245
109	0.5139033648	0.7560917486
110	0.5137563284	0.7563896336
111	0.5135926795	0.7563896336
112	0.5126548225	0.7566279416
113	0.5121410974	0.7566279416
114	0.5119223724	0.7566875186
115	0.5115390137	0.7562704796
116	0.5113742297	0.7568066726
117	0.5103294544	0.7574620197
118	0.509874223	0.7579982127
119	0.5097629853	0.7578790587
120	0.509426964	0.7582365207
121	0.507930361	0.7583556747
122	0.5077768326	0.7583556747
123	0.5075901933	0.7583556747
124	0.5071179757	0.7582960977
125	0.507093219	0.7582960977
126	0.5067903201	0.7583556747
127	0.5065991911	0.7588322907
128	0.5060996307	0.7588918677
129	0.5058704356	0.7590705987
130	0.5057681441	0.7593684838
131	0.5057003264	0.7591301758
132	0.5055720208	0.7592493298
133	0.5054210404	0.7596067918
134	0.5053165804	0.7596663688
135	0.5052244493	0.7596067918
136	0.5050918449	0.7595472148
137	0.5049573478	0.7597259458
138	0.504594316	0.7600238308
139	0.5044402226	0.7601429848
140	0.5035269993	0.7603812928
141	0.5033694473	0.7602621388
142	0.5029671659	0.7606196008
143	0.502884967	0.7600834078
144	0.5019131631	0.7605004468
145	0.5018457791	0.7605600238
146	0.5016807519	0.7599642538
147	0.5016033299	0.7601429848
148	0.5011888308	0.7601429848
149	0.5010321496	0.7600834078
150	0.5008367846	0.7603812928
151	0.5007139729	0.7606196008
152	0.5005350573	0.7607983318
153	0.500272505	0.7605004468
154	0.4992876262	0.7609174859
155	0.4991451403	0.7605600238
156	0.4988648964	0.7609174859
157	0.4985235424	0.7610366399
158	0.4983428501	0.7610962169
