iter	Passed	Remaining
0	26	40189
1	63	47364
2	97	48599
3	121	45281
4	144	43218
5	164	40996
6	184	39391
7	201	37563
8	219	36362
9	240	35891
10	263	35637
11	283	35149
12	302	34651
13	320	34067
14	337	33405
15	354	32891
16	372	32470
17	389	32037
18	408	31810
19	425	31504
20	444	31294
21	460	30914
22	477	30671
23	496	30555
24	517	30527
25	536	30390
26	552	30165
27	570	30015
28	589	29919
29	606	29720
30	625	29655
31	641	29416
32	658	29264
33	674	29079
34	693	29014
35	710	28889
36	727	28752
37	746	28721
38	764	28628
39	782	28574
40	800	28474
41	819	28433
42	838	28427
43	859	28445
44	882	28536
45	903	28573
46	924	28585
47	944	28580
48	972	28798
49	996	28899
50	1019	28961
51	1037	28901
52	1060	28943
53	1081	28955
54	1100	28909
55	1122	28950
56	1147	29059
57	1169	29067
58	1187	29001
59	1205	28923
60	1224	28877
61	1249	28977
62	1273	29044
63	1292	29001
64	1317	29085
65	1334	28988
66	1352	28933
67	1372	28898
68	1395	28946
69	1416	28938
70	1438	28954
71	1458	28931
72	1479	28915
73	1502	28956
74	1523	28937
75	1542	28901
76	1564	28919
77	1587	28950
78	1613	29018
79	1636	29055
80	1664	29160
81	1687	29175
82	1707	29157
83	1730	29170
84	1750	29144
85	1772	29140
86	1795	29167
87	1813	29092
88	1835	29103
89	1856	29082
90	1873	29011
91	1891	28941
92	1912	28940
93	1934	28935
94	1956	28934
95	1979	28944
96	2008	29045
97	2033	29093
98	2063	29201
99	2089	29251
100	2109	29220
101	2134	29252
102	2160	29300
103	2187	29363
104	2218	29480
105	2242	29492
106	2305	30009
107	2330	30041
108	2354	30051
109	2378	30061
110	2403	30071
111	2421	30014
112	2440	29950
113	2458	29887
114	2476	29828
115	2497	29795
116	2516	29746
117	2536	29708
118	2553	29629
119	2571	29566
120	2587	29489
121	2607	29455
122	2625	29391
123	2642	29321
124	2660	29263
125	2675	29171
126	2693	29123
127	2712	29078
128	2727	28989
129	2747	28956
130	2767	28919
131	2786	28873
132	2805	28832
133	2822	28775
134	2843	28753
135	2863	28716
136	2879	28650
137	2897	28593
138	2913	28522
139	2931	28480
140	2949	28429
141	2965	28358
142	2990	28380
143	3010	28353
144	3029	28310
145	3047	28265
146	3068	28238
147	3095	28279
148	3125	28335
149	3150	28356
150	3175	28369
151	3188	28275
152	3214	28297
153	3234	28268
154	3245	28158
155	3268	28155
156	3290	28146
157	3311	28123
158	3330	28085
159	3348	28040
160	3368	28012
161	3386	27969
162	3403	27921
163	3423	27885
164	3442	27855
165	3462	27821
166	3482	27795
167	3507	27809
168	3527	27783
169	3547	27751
170	3569	27741
171	3589	27716
172	3609	27686
173	3628	27654
174	3647	27618
175	3671	27620
176	3694	27612
177	3712	27574
178	3733	27550
179	3753	27526
180	3771	27487
181	3791	27456
182	3811	27430
183	3829	27388
184	3847	27350
185	3867	27319
186	3886	27288
187	3906	27261
188	3922	27210
189	3939	27165
190	3958	27129
191	3980	27114
192	3999	27086
193	4018	27052
194	4040	27040
195	4058	27000
196	4076	26964
197	4094	26923
198	4109	26865
199	4128	26832
200	4144	26783
201	4162	26749
202	4182	26722
203	4200	26682
204	4219	26652
205	4235	26608
206	4255	26580
207	4276	26560
208	4296	26541
209	4314	26502
210	4333	26475
211	4355	26463
212	4376	26443
213	4397	26425
214	4415	26388
215	4435	26364
216	4450	26312
217	4469	26283
218	4488	26251
219	4504	26210
220	4523	26177
221	4544	26164
222	4563	26129
223	4584	26114
224	4604	26090
225	4622	26055
226	4641	26029
227	4659	25993
228	4676	25955
229	4695	25926
230	4714	25900
231	4733	25873
232	4753	25847
233	4770	25807
234	4790	25784
235	4811	25767
236	4830	25740
237	4850	25719
238	4869	25691
239	4887	25657
240	4905	25629
241	4923	25594
242	4943	25573
243	4962	25544
244	4981	25517
245	5000	25491
246	5020	25466
247	5038	25437
248	5060	25424
249	5081	25408
250	5099	25374
251	5119	25354
252	5137	25321
253	5155	25292
254	5174	25261
255	5193	25236
256	5210	25202
257	5230	25177
258	5248	25150
259	5268	25124
260	5286	25095
261	5304	25064
262	5324	25042
263	5345	25027
264	5364	25000
265	5386	24988
266	5407	24973
267	5426	24944
268	5446	24925
269	5465	24898
270	5483	24868
271	5503	24845
272	5524	24831
273	5548	24827
274	5572	24825
275	5592	24801
276	5612	24778
277	5630	24749
278	5648	24721
279	5666	24689
280	5683	24657
281	5702	24630
282	5719	24595
283	5738	24569
284	5757	24546
285	5777	24526
286	5794	24492
287	5812	24462
288	5830	24433
289	5850	24411
290	5869	24386
291	5886	24353
292	5904	24323
293	5922	24294
294	5940	24265
295	5958	24237
296	5983	24237
297	6005	24223
298	6021	24188
299	6040	24160
300	6058	24134
301	6075	24099
302	6092	24069
303	6111	24045
304	6129	24015
305	6148	23989
306	6166	23962
307	6183	23931
308	6229	24009
309	6247	23981
310	6266	23956
311	6284	23928
312	6302	23902
313	6321	23875
314	6342	23861
315	6364	23846
316	6383	23824
317	6406	23811
318	6426	23793
319	6445	23768
320	6464	23744
321	6485	23726
322	6506	23708
323	6536	23723
324	6558	23712
325	6580	23696
326	6601	23681
327	6623	23668
328	6642	23643
329	6661	23616
330	6680	23593
331	6698	23567
332	6718	23543
333	6734	23508
334	6754	23490
335	6773	23466
336	6792	23440
337	6812	23421
338	6832	23398
339	6851	23375
340	6869	23346
341	6888	23322
342	6906	23296
343	6923	23267
344	6940	23236
345	6957	23204
346	6975	23178
347	7003	23182
348	7020	23155
349	7039	23128
350	7060	23113
351	7081	23096
352	7100	23070
353	7121	23054
354	7139	23028
355	7156	22995
356	7176	22977
357	7195	22952
358	7214	22930
359	7236	22914
360	7257	22898
361	7277	22878
362	7297	22858
363	7316	22834
364	7336	22812
365	7355	22789
366	7376	22773
367	7393	22743
368	7415	22727
369	7433	22702
370	7453	22683
371	7474	22665
372	7493	22640
373	7514	22624
374	7533	22600
375	7552	22578
376	7576	22569
377	7597	22552
378	7616	22528
379	7634	22500
380	7655	22484
381	7673	22456
382	7691	22430
383	7710	22409
384	7728	22381
385	7746	22357
386	7763	22328
387	7780	22299
388	7799	22275
389	7819	22255
390	7839	22235
391	7857	22208
392	7876	22187
393	7896	22167
394	7915	22144
395	7935	22124
396	7956	22104
397	7975	22083
398	8005	22091
399	8027	22074
400	8046	22053
401	8066	22032
402	8084	22007
403	8106	21991
404	8126	21972
405	8144	21947
406	8164	21924
407	8183	21903
408	8202	21879
409	8220	21854
410	8241	21836
411	8259	21810
412	8278	21787
413	8295	21760
414	8314	21738
415	8333	21714
416	8350	21687
417	8371	21670
418	8390	21646
419	8408	21621
420	8427	21599
421	8446	21576
422	8468	21561
423	8485	21533
424	8508	21520
425	8529	21503
426	8549	21483
427	8570	21467
428	8589	21444
429	8606	21417
430	8624	21391
431	8644	21371
432	8666	21356
433	8689	21342
434	8710	21324
435	8731	21307
436	8752	21291
437	8775	21277
438	8794	21253
439	8812	21229
440	8826	21196
441	8845	21173
442	8864	21150
443	8884	21131
444	8903	21108
445	8924	21089
446	8944	21069
447	8963	21048
448	8982	21026
449	9015	21036
450	9035	21015
451	9053	20991
452	9074	20973
453	9094	20952
454	9113	20930
455	9134	20913
456	9156	20898
457	9177	20880
458	9197	20859
459	9218	20840
460	9240	20826
461	9260	20806
462	9279	20782
463	9298	20761
464	9321	20747
465	9340	20726
466	9362	20709
467	9384	20694
468	9406	20677
469	9429	20665
470	9448	20643
471	9472	20630
472	9493	20611
473	9518	20604
474	9541	20589
475	9563	20573
476	9586	20559
477	9614	20556
478	9638	20545
479	9661	20531
480	9686	20520
481	9706	20500
482	9727	20481
483	9748	20463
484	9770	20448
485	9789	20425
486	9810	20407
487	9829	20383
488	9848	20361
489	9868	20341
490	9886	20317
491	9907	20297
492	9927	20276
493	9946	20256
494	9967	20236
495	9988	20219
496	10020	20221
497	10041	20204
498	10058	20177
499	10078	20157
500	10099	20137
501	10120	20120
502	10141	20101
503	10157	20073
504	10176	20051
505	10197	20031
506	10226	20030
507	10248	20013
508	10269	19993
509	10287	19969
510	10304	19943
511	10323	19921
512	10345	19903
513	10363	19879
514	10384	19861
515	10405	19843
516	10427	19827
517	10447	19806
518	10467	19784
519	10487	19764
520	10513	19756
521	10536	19740
522	10561	19730
523	10581	19709
524	10598	19683
525	10619	19664
526	10638	19642
527	10663	19629
528	10683	19610
529	10705	19593
530	10726	19573
531	10747	19555
532	10767	19535
533	10786	19512
534	10808	19495
535	10829	19476
536	10847	19453
537	10869	19435
538	10886	19410
539	10906	19389
540	10927	19370
